Time,V1,V2,V3,V4,V5,V6,Amount,Class
102,-1.5527270678160376,-0.8063626971363014,0.5826808130151858,0.5800728940775537,0.8066431167227499,-0.28518844674365945,4777.399481485326,0.0
92,-0.30353598557719785,-1.345583400104966,-0.45067901649773273,0.09130117105966842,-0.22843192106635843,0.957517777643326,2918.477468489107,0.0
14,-1.2931453236461579,1.698092906333733,-0.44466906769890485,1.3363818034531878,-0.7342759712894197,-0.4749346222212478,213.91217889759517,1.0
106,-0.600973963003361,-0.8650714271711278,-0.5580863501366736,0.07008847520856673,-0.6530305754580548,-0.6522665031033145,4846.210750338278,0.0
71,0.1696937923520195,1.5677961311964723,0.6321209472278112,-0.5622056962202638,-0.6657998701017706,1.90186461325099,3529.604442420385,0.0
20,-0.7001158732050082,-0.8595000398001769,-0.6227475600019066,0.05769722216578412,1.06518318012364,-0.10837103661884025,1680.482279119707,0.0
102,1.0896648650164613,0.5251903903377283,-0.4248990892028066,0.7241672408771637,0.16023036461340598,-0.03410720098954454,736.6413471176531,0.0
121,1.5339781208495669,-1.1378071596536348,1.0580223881158126,-1.7732074077890467,-1.1151224325087035,0.28361720550501,717.9496425691384,0.0
74,-2.249095728055939,0.5233950169020153,0.19163196206738903,-0.7152485188175908,-0.2521334110010799,2.601770471320802,839.5542862918741,0.0
87,-0.6829923303511227,-0.3255873571531219,1.1985326271211874,-0.6941767358853519,-0.131020101940283,2.168761167921427,228.8170355474877,0.0
116,0.059142122272422416,-0.3125161606756704,0.7980598733523421,0.4109902028775005,-2.138988893613738,1.283782608325773,4510.868789075905,0.0
99,1.1261170260153806,0.6100231697844505,-1.1766718290700633,0.5272865396919497,-0.19651291442616903,2.8536225827404498,2704.300395903854,0.0
103,-0.4542442751532624,-0.4691413650790981,-0.10213305824070133,0.10122772783489464,0.7231929760287334,-0.9445767199209086,3500.097104156472,0.0
151,-0.01993539524581029,-1.4281484954450976,0.9899490399685423,-2.478638119127923,-0.1376278822574411,0.6558839906913896,4140.714437832269,0.0
130,-1.1567442250519486,0.7613055634094525,-1.2221760651510123,-1.651918183191787,0.254406878746652,0.0758229309804383,3957.913490659668,0.0
149,-1.5327958522623455,-1.1459005899823282,0.41971082035867624,-0.23893182145712105,0.4845131307727723,-1.7690877320358567,4413.145513020479,0.0
52,1.4453846895829336,0.51651728439791,-0.03923647369874391,-0.5014694233584738,-0.3426022407710725,0.46309693066377544,4836.305858002234,0.0
1,-1.8240698738929368,0.9729965453330005,-1.7547887421223871,0.005370378836003093,0.7307546611603922,-0.49082647991404904,2195.9140030949557,0.0
87,2.328619008421566,-0.3754938863522174,0.11965930451893353,-0.4693981624354754,1.4574842978317002,1.5335008409803093,4751.726997875284,0.0
157,0.7251513993817416,1.182352844091784,-0.8374680161265329,1.531642466149037,-1.5238586374474048,-0.39502186443836856,3616.726451765739,0.0
